model,variant,hemisphere,season,b
CMCC-CM2-HR4,div1_QG_gt3,n,JAS,0.05326943611061778
CMCC-CM2-HR4,div1_QG_gt3,n,ASO,0.1037544610695321
CMCC-CM2-HR4,div1_QG_gt3,n,SON,0.1350405297025407
CMCC-CM2-HR4,div1_QG_gt3,n,OND,0.08838621990968427
CMCC-CM2-HR4,div1_QG_gt3,n,NDJ,0.1232208931506461
CMCC-CM2-HR4,div1_QG_gt3,s,DJF,0.07799130509242588
CMCC-CM2-HR4,div1_QG_gt3,s,JFM,0.0855601599063488
CMCC-CM2-HR4,div1_QG_gt3,s,FMA,0.0503342665424968
CMCC-CM2-HR4,div1_QG_gt3,s,MAM,0.021261998387640216
CMCC-CM2-HR4,div1_QG_gt3,s,AMJ,0.09194807628192254
CMCC-CM2-HR4,div1_QG_gt3,s,MJJ,0.13720030056576407
CMCC-CM2-HR4,div1_QG_gt3,s,JJA,0.13917286156267472
CMCC-CM2-HR4,div1_QG_gt3,s,JAS,0.12549978267186523
CMCC-CM2-HR4,div1_QG_gt3,s,ASO,0.10067154438547701
CMCC-CM2-HR4,div1_QG_gt3,s,SON,0.06724937332941157
CMCC-CM2-HR4,div1_QG_gt3,s,OND,0.058440387198128545
CMCC-CM2-HR4,div1_QG_gt3,s,NDJ,0.06860844143288548
CMCC-CM2-SR5,div1_QG,n,DJF,0.13421317056277526
CMCC-CM2-SR5,div1_QG,n,JFM,0.12556948768598863
CMCC-CM2-SR5,div1_QG,n,FMA,0.11386197825637373
CMCC-CM2-SR5,div1_QG,n,MAM,0.09738119441858538
CMCC-CM2-SR5,div1_QG,n,AMJ,0.10162163875717221
CMCC-CM2-SR5,div1_QG,n,MJJ,0.042357912547573505
CMCC-CM2-SR5,div1_QG,n,JJA,-0.025253357983886466
CMCC-CM2-SR5,div1_QG,n,JAS,0.0102900915508253
CMCC-CM2-SR5,div1_QG,n,ASO,0.05162586476337201
CMCC-CM2-SR5,div1_QG,n,SON,-0.019905308739573576
CMCC-CM2-SR5,div1_QG,n,OND,0.119994036142199
CMCC-CM2-SR5,div1_QG,n,NDJ,0.10817981210526131
CMCC-CM2-SR5,div1_QG,s,DJF,0.04299001180765916
CMCC-CM2-SR5,div1_QG,s,JFM,0.013599930725915206
CMCC-CM2-SR5,div1_QG,s,FMA,0.013026028158243835
CMCC-CM2-SR5,div1_QG,s,MAM,0.06522112343062275
CMCC-CM2-SR5,div1_QG,s,AMJ,0.0795201798286189
CMCC-CM2-SR5,div1_QG,s,MJJ,0.09316017930707521
CMCC-CM2-SR5,div1_QG,s,JJA,0.08422965830688985
CMCC-CM2-SR5,div1_QG,s,JAS,0.08656135478760937
CMCC-CM2-SR5,div1_QG,s,ASO,0.08961331811354341
CMCC-CM2-SR5,div1_QG,s,SON,0.07116402529836308
CMCC-CM2-SR5,div1_QG,s,OND,0.08515948297091358
CMCC-CM2-SR5,div1_QG,s,NDJ,0.06262638545579366
CMCC-CM2-SR5,div1_QG_123,n,DJF,0.05450887035350193
CMCC-CM2-SR5,div1_QG_123,n,JFM,0.051627436275409215
CMCC-CM2-SR5,div1_QG_123,n,FMA,0.03484303659438025
CMCC-CM2-SR5,div1_QG_123,n,MAM,-0.0025512860453136632
CMCC-CM2-SR5,div1_QG_123,n,AMJ,-0.04136124060086692
CMCC-CM2-SR5,div1_QG_123,n,MJJ,-0.04441482676144971
CMCC-CM2-SR5,div1_QG_123,n,JJA,-0.08843811801915676
CMCC-CM2-SR5,div1_QG_123,n,JAS,-0.0981333743820046
CMCC-CM2-SR5,div1_QG_123,n,ASO,-0.07640789410187689
CMCC-CM2-SR5,div1_QG_123,n,SON,-0.07629867783661962
CMCC-CM2-SR5,div1_QG_123,n,OND,0.038642973100240285
CMCC-CM2-SR5,div1_QG_123,n,NDJ,0.030831135314726633
CMCC-CM2-SR5,div1_QG_123,s,DJF,-0.025281611737197385
CMCC-CM2-SR5,div1_QG_123,s,JFM,-0.03676473333743654
